pk,date,hour,venue_id,venue,home_id,home,away_id,away,home_score,away_score,total,home_sp,away_sp,home_sp_name,away_sp_name,season,home_era,away_era,home_ip,away_ip
778021,2025-05-07,23,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,143,Philadelphia Phillies,0,7,7,669358,650911,Shane Baz,Cristopher Sánchez,2025,3.857,3.447,35.0,31.3
778019,2025-05-07,23,3313,Yankee Stadium,147,New York Yankees,135,San Diego Padres,4,3,7,608331,656302,Max Fried,Dylan Cease,2025,1.007,5.614,44.7,33.7
778023,2025-05-07,23,4705,Truist Park,144,Atlanta Braves,113,Cincinnati Reds,3,4,7,656550,668881,Grant Holmes,Hunter Greene,2025,4.235,2.531,34.0,42.7
778011,2025-05-07,23,3312,Target Field,142,Minnesota Twins,110,Baltimore Orioles,5,2,7,680573,450203,Simeon Woods Richardson,Charlie Morton,2025,4.034,9.759,29.0,27.7
778012,2025-05-07,23,7,Kauffman Stadium,118,Kansas City Royals,145,Chicago White Sox,2,1,3,608379,686563,Michael Wacha,Jonathan Cannon,2025,3.522,4.263,38.3,38.0
778013,2025-05-08,0,19,Coors Field,115,Colorado Rockies,116,Detroit Tigers,6,8,14,801403,695549,Chase Dollander,Jackson Jobe,2025,7.714,4.88,28.0,27.7
778009,2025-05-08,1,1,Angel Stadium,108,Los Angeles Angels,141,Toronto Blue Jays,5,4,9,579328,621244,Yusei Kikuchi,José Berríos,2025,3.827,3.857,42.3,46.7
778007,2025-05-08,17,3312,Target Field,142,Minnesota Twins,110,Baltimore Orioles,5,2,7,641927,665152,Bailey Ober,Dean Kremer,2025,3.724,5.735,38.7,37.7
778006,2025-05-08,17,3,Fenway Park,111,Boston Red Sox,140,Texas Rangers,5,0,5,678394,683004,Brayan Bello,Jack Leiter,2025,,,17.7,17.7
778008,2025-05-08,18,7,Kauffman Stadium,118,Kansas City Royals,145,Chicago White Sox,10,0,10,663460,663436,Kris Bubic,Davis Martin,2025,1.976,3.522,41.0,38.3
778004,2025-05-08,19,19,Coors Field,115,Colorado Rockies,116,Detroit Tigers,2,10,12,607536,663554,Kyle Freeland,Casey Mize,2025,5.697,2.7,36.3,36.7
778029,2025-05-08,19,19,Coors Field,115,Colorado Rockies,116,Detroit Tigers,1,11,12,685299,672456,Tanner Gordon,Keider Montero,2025,,,0,13.7
778005,2025-05-08,23,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,143,Philadelphia Phillies,6,7,13,686752,666200,Ryan Pepiot,Jesús Luzardo,2025,4.226,1.944,38.3,41.7
778003,2025-05-08,23,4705,Truist Park,144,Atlanta Braves,113,Cincinnati Reds,5,4,9,680885,666157,Spencer Schwellenbach,Nick Lodolo,2025,3.919,3.266,41.3,41.3
778000,2025-05-09,1,1,Angel Stadium,108,Los Angeles Angels,141,Toronto Blue Jays,5,8,13,667755,605135,José Soriano,Chris Bassitt,2025,4.0,3.35,45.0,45.7
777999,2025-05-09,1,15,Chase Field,109,Arizona Diamondbacks,119,Los Angeles Dodgers,5,3,8,694297,808967,Brandon Pfaadt,Yoshinobu Yamamoto,2025,3.279,1.8,46.7,45.0
777996,2025-05-09,22,2394,Comerica Park,116,Detroit Tigers,140,Texas Rangers,2,1,3,669373,571578,Tarik Skubal,Patrick Corbin,2025,2.213,3.284,40.7,24.7
777998,2025-05-09,22,31,PNC Park,134,Pittsburgh Pirates,144,Atlanta Braves,3,2,5,663559,693821,Bailey Falter,Bryce Elder,2025,5.063,5.062,37.3,32.0
777995,2025-05-09,22,3309,Nationals Park,120,Washington Nationals,138,St. Louis Cardinals,0,10,10,680730,607200,Mitchell Parker,Erick Fedde,2025,3.484,4.779,41.3,37.7
778002,2025-05-09,23,2523,George M. Steinbrenner Field,139,Tampa Bay Rays,158,Milwaukee Brewers,4,3,7,641793,500779,Zack Littell,Jose Quintana,2025,4.61,2.826,41.0,28.7
778001,2025-05-09,23,3289,Citi Field,121,New York Mets,112,Chicago Cubs,7,2,9,605280,592791,Clay Holmes,Jameson Taillon,2025,2.945,3.857,36.7,39.7
777997,2025-05-09,23,5,Progressive Field,114,Cleveland Guardians,143,Philadelphia Phillies,6,0,6,668909,605400,Gavin Williams,Aaron Nola,2025,5.062,4.61,32.0,41.0
777990,2025-05-09,23,7,Kauffman Stadium,118,Kansas City Royals,111,Boston Red Sox,2,1,3,547179,690928,Michael Lorenzen,Hunter Dobbins,2025,4.226,,38.3,16.7
777991,2025-05-09,23,4,Rate Field,145,Chicago White Sox,146,Miami Marlins,6,2,8,669060,676974,Bryse Wilson,Max Meyer,2025,5.559,3.923,22.7,39.0
777989,2025-05-10,0,2392,Daikin Park,117,Houston Astros,113,Cincinnati Reds,3,0,3,686613,607259,Hunter Brown,Nick Martinez,2025,1.479,4.231,48.7,44.7
777992,2025-05-10,0,3312,Target Field,142,Minnesota Twins,137,San Francisco Giants,3,1,4,663978,663855,Chris Paddack,Jordan Hicks,2025,4.765,5.815,39.7,43.3
777993,2025-05-10,0,19,Coors Field,115,Colorado Rockies,135,San Diego Padres,9,13,22,622608,681190,Antonio Senzatela,Randy Vásquez,2025,5.769,3.757,39.0,38.3
777986,2025-05-10,1,1,Angel Stadium,108,Los Angeles Angels,110,Baltimore Orioles,1,4,5,543294,608372,Kyle Hendricks,Tomoyuki Sugano,2025,5.299,2.719,35.7,46.3
